file_name,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,chroma_mean_12,chroma_std_12,spec_contrast_mean_1,spec_contrast_std_1,spec_contrast_mean_2,spec_contrast_std_2,spec_contrast_mean_3,spec_contrast_std_3,spec_contrast_mean_4,spec_contrast_std_4,spec_contrast_mean_5,spec_contrast_std_5,spec_contrast_mean_6,spec_contrast_std_6,spec_contrast_mean_7,spec_contrast_std_7,zcr_mean,zcr_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_rolloff_std,label
vocal1.wav,-323.96332,89.0347,43.334515,42.58629,-44.621387,27.845772,-6.0116553,30.306217,-1.993246,24.555275,-36.360413,18.206457,-12.693086,15.987516,-16.016476,13.102713,-39.952114,15.974362,20.996536,17.079172,-33.938343,15.18053,-1.46678,12.174835,-22.067364,13.59197,0.4995771,0.41504627,0.31042838,0.32033572,0.12739682,0.1889963,0.1151668,0.24060377,0.12837194,0.17895396,0.25221032,0.3644755,0.12333248,0.17232476,0.22357555,0.32491544,0.1515272,0.23008688,0.18402272,0.23982926,0.33974183,0.3688532,0.30114546,0.26079288,19.69572842593423,7.211365766340734,31.99369031668756,6.902773257400802,31.08023321732151,6.57764934363446,24.533267026580763,5.358357437518468,22.590589502410285,4.2195210396605045,29.751819488008792,6.337485063743167,48.84842194966186,5.681396338115496,0.1114374640529141,0.09454420663998567,2535.9762044242248,1002.1380037514672,5266.266281034317,1963.5587781741062,1
vocal10.wav,-213.65262,74.1425,27.295351,48.53851,-7.0152698,31.87468,-6.6555495,42.881268,-35.310722,25.878683,-19.666494,22.987595,-16.026358,21.526037,-22.348465,18.642754,-20.816633,17.469305,-30.68407,15.782061,-18.116072,16.19399,-19.817991,11.606355,-22.696846,12.998844,0.41382208,0.42094496,0.21637161,0.24557993,0.13931637,0.22212808,0.13998154,0.25390887,0.10724129,0.18765724,0.14452684,0.25984758,0.1472929,0.22962135,0.23131791,0.31099403,0.2788694,0.36868516,0.2513079,0.2620487,0.3883661,0.4053077,0.344234,0.29354584,24.712552801339278,7.909085290921702,30.01353309897043,7.474037688320238,28.93833645652365,6.917736690892174,22.43872212696139,4.456627429854091,21.94417380635287,4.347801177696499,19.88214998016864,4.3538426373525505,46.186996317971506,3.447652703324661,0.13316094838428794,0.13537716471935599,2920.7564017995205,1300.8128064772789,5911.597586711494,1931.7689877680996,1
vocal11.wav,-249.50517,87.60716,83.40161,50.25651,-26.766123,36.42926,16.319958,26.062534,21.264414,31.892883,-37.24368,19.085058,-8.254286,18.805494,-7.4617085,18.317633,-54.0562,15.995945,-0.30908597,20.000319,-1.617708,15.048544,-22.52802,11.936382,1.3968455,10.610055,0.32626647,0.3317895,0.3497689,0.3388054,0.26833707,0.25128266,0.2611872,0.31567007,0.21855958,0.23376785,0.24989234,0.31404582,0.20527706,0.24537055,0.31873015,0.31899607,0.3656251,0.33174536,0.27353436,0.2534555,0.36966148,0.37553817,0.27615893,0.25842774,35.971587436760956,5.882561455449524,26.362902596465688,6.167679333460134,25.76921808847299,5.398106380152467,20.430800922058975,4.438059488327945,20.487268474462184,4.211324347356244,31.675949745111406,7.07282475709513,46.13949304472795,4.290753245491899,0.12211161725830816,0.11410304061796489,2457.742691385227,1318.5373287862583,4676.337315308723,2332.9314239217524,1
vocal12.wav,-166.85487,54.63092,39.580814,41.888527,-6.278708,27.782488,-0.0736876,28.75477,-27.59855,18.683695,-17.92552,18.89714,-11.687599,15.735539,-9.631263,15.399766,-19.241426,15.351737,-25.69505,13.964597,-12.943754,16.697765,-15.099345,10.83746,-15.85508,11.27331,0.3813305,0.4046301,0.20132089,0.2549588,0.122129664,0.2101289,0.13674153,0.23407505,0.10283831,0.18090479,0.10851241,0.19734569,0.10524468,0.18986973,0.17577718,0.22241384,0.40580457,0.43369472,0.3397701,0.2722908,0.4367041,0.40536672,0.3744846,0.3160064,21.302898543992786,7.388585031944922,27.090922717246688,7.033963232749428,25.919770861120913,5.993796134836196,22.151757869350675,4.33259467350064,20.95605096775226,4.3648137369317075,18.49355740490477,3.89284448571928,46.110576503933935,3.3507072799940056,0.13344244813440637,0.12478296096661094,2950.17540648385,1174.6044897830402,5997.042081188597,1679.112227154639,1
vocal13.wav,-333.4485,96.7003,44.566574,53.020927,-7.311619,24.718412,-28.065866,28.800179,-22.602211,22.401144,-14.870193,18.667974,-7.2893767,20.932226,-36.057842,16.695278,-19.585712,18.543354,-18.884241,13.024179,-43.056713,13.129872,-1.0481359,13.773162,-14.841972,12.2997265,0.19330338,0.26114285,0.22241673,0.3197197,0.16983913,0.23683767,0.30003738,0.34336674,0.33773467,0.39050815,0.21124415,0.22818956,0.30200142,0.38637927,0.25007018,0.2614487,0.33465627,0.37627137,0.16052653,0.22236542,0.16861078,0.24528544,0.2746647,0.354236,15.95696970485925,6.0453792603420595,29.226362016856537,7.757669843549438,27.576290985286306,7.7606876994705996,23.24203966923696,5.648901720496931,24.215343473178585,5.167920391758712,22.98556930196138,4.885427326722763,49.143711594212824,4.384418842544701,0.11257718116718628,0.1173754105866941,2645.3990130866423,1311.5372356058224,5602.493012592557,2528.4224365866835,1
vocal14.wav,-302.95554,106.89108,32.493904,43.54371,-4.4582562,32.168865,-28.839777,42.416874,-21.587841,29.357632,-15.360324,22.666807,-12.196599,19.547218,-37.897594,21.46866,-16.588034,19.59637,-20.668812,15.2568865,-41.754433,16.607302,-6.7341347,12.18158,-23.110971,13.004519,0.19932045,0.27949923,0.22724427,0.3289707,0.16621852,0.22917694,0.25891545,0.328842,0.266594,0.35259962,0.19813135,0.23899873,0.28197676,0.3649228,0.25920394,0.2750233,0.36680856,0.37585393,0.24549568,0.31224728,0.20864311,0.28676707,0.26619825,0.34689718,18.791530436111188,8.615076722047922,27.883453948360305,7.783470368751426,28.36833260023211,7.322061060021335,23.627430112170053,4.466793862807916,24.6917101528139,4.814117621341681,23.41308685611098,6.353701393935801,48.41811236703101,4.128691496310646,0.13461831569288013,0.13427842856096184,3025.9115764976887,1258.9913607674584,6600.108655344931,2113.926504367091,1
vocal15.wav,-273.1052,104.98551,2.2115374,51.763508,-14.153589,44.49179,-11.732212,43.70194,-21.099693,26.811338,-41.261528,29.088406,-20.798708,24.067003,-43.01752,21.216568,-17.185389,17.37946,-9.490259,16.960905,-53.908806,16.342144,-10.125134,13.63204,-25.785452,13.921358,0.22985625,0.3050311,0.21303244,0.31740552,0.15304121,0.23927905,0.18352367,0.26344484,0.24919917,0.35693824,0.20918877,0.25998104,0.28035522,0.3728425,0.22715414,0.25953412,0.33683786,0.3801868,0.25388584,0.30860323,0.243496,0.3056441,0.260312,0.32905796,18.135911004640942,6.1292301369429625,30.5372387700376,7.885790723072073,28.911978339835596,7.615304975008881,25.969331211216176,6.4394035877133495,26.17570024001031,6.555974324307245,26.33657913185167,7.161993212175646,50.19270901747173,4.913163112672515,0.16905840424491392,0.1455452293555652,3301.2900328842647,1371.2598416082028,6565.268073283451,2203.9136607055952,1
vocal16.wav,-273.79703,118.27757,18.434006,45.483982,-21.415928,39.170715,-19.13771,35.54273,-20.473246,33.569443,-32.04736,27.917007,-14.644959,22.271166,-34.274612,22.364569,-11.645306,19.986435,-9.971925,20.252874,-46.57683,20.423555,-4.924871,13.350504,-20.346712,16.367605,0.29442772,0.33100665,0.2900386,0.35091084,0.19621724,0.25475523,0.2627718,0.28535795,0.39757437,0.40684628,0.20171352,0.23448135,0.21219179,0.32974917,0.18514717,0.2494499,0.23017015,0.30613792,0.21943001,0.30151072,0.2349659,0.259249,0.33262384,0.3433053,20.588024764190777,8.237070441915636,27.907556342366036,8.943346901735802,27.665246848418878,8.068591992515058,25.624601647809786,5.692676121731963,25.438593102772607,6.441696882005115,25.989001166650507,7.795288431994487,49.37030019851494,4.572121909008142,0.17757073275445046,0.14317095820958922,3211.167656815462,1452.5371807308468,6118.646334716041,2454.940023930156,1
vocal17.wav,-306.1443,113.60055,14.154838,49.183617,-26.512947,44.588367,-9.577693,35.00153,-25.149605,22.82142,-41.052673,30.913939,-8.697987,22.752111,-41.006657,23.166624,-18.724966,18.92643,-4.021419,19.836761,-48.208317,21.522158,-4.182842,14.956725,-17.053457,18.702568,0.24548593,0.26984045,0.27223334,0.3527102,0.18360503,0.2527929,0.17040208,0.24852757,0.1904037,0.30960166,0.18473513,0.2399163,0.31708834,0.36974955,0.23990095,0.2605192,0.29264402,0.36269042,0.2213237,0.28638783,0.27185917,0.30502987,0.35615146,0.38634923,18.804537121469927,6.845927604875549,28.662664088523616,8.427703336640045,29.580908167245795,7.5060091251140975,28.255139475833847,7.5253495995606,24.207916871802816,5.264601283037374,28.87563371554482,7.108288457855482,50.94603213988108,5.918521543096884,0.17254695360874614,0.1329491399479078,3028.337065721022,1434.7962185992897,5455.208679766109,2602.3197621181075,1
vocal18.wav,-232.0453,66.171555,8.683779,53.399,-10.290786,39.445744,11.821939,37.524536,-17.15161,26.226366,-43.68672,25.505194,-22.955372,21.070457,-33.216408,20.308897,-16.555151,18.665077,-18.679352,19.695469,-49.0832,15.540377,-8.336456,13.234274,-22.709032,13.5545435,0.28263378,0.31278136,0.25676563,0.31768164,0.21030664,0.26599887,0.23117843,0.29446918,0.2318544,0.31672072,0.21857396,0.2725425,0.26899406,0.33270204,0.28145593,0.30422744,0.3469823,0.34662935,0.32830113,0.34264782,0.3109785,0.32562304,0.32130828,0.3452055,27.65637246842671,9.11117077309276,25.444682213075488,7.1008615005201925,25.77994015634524,6.436166811558577,22.124715215386242,5.535861073954427,22.052013595995852,4.787239495777127,22.647207882619103,6.031963135806985,49.172176351791805,4.605001102050507,0.17450612543537153,0.12436419471655803,3415.394461853664,1271.9728262338126,6696.4928405572755,1986.3083046517927,1
